 4.24624795e-06  4.24624795e-06  4.24624795e-06  5.00722827e+00  4.24624795e-06  3.17144245e-02  4.24624795e-06 -1.97653748e+01 
 4.90162262e-06  4.90162262e-06  4.90162262e-06  5.77738384e+00  4.90162262e-06  3.66289278e-02  4.90162262e-06 -2.28054625e+01 
 5.65855649e-06  5.65855649e-06  5.65855649e-06  6.66594973e+00  5.65855649e-06  4.23112399e-02  5.65855649e-06 -2.63129594e+01 
 6.53311590e-06  6.53311590e-06  6.53311590e-06  7.69132233e+00  6.53311590e-06  4.88847364e-02  6.53311590e-06 -3.03604829e+01 
 7.54370905e-06  7.54370905e-06  7.54370905e-06  8.87444717e+00  7.54370905e-06  5.64913676e-02  7.54370905e-06 -3.50307125e+01 
 8.71195037e-06  8.71195037e-06  8.71195037e-06  1.02397505e+01  8.71195037e-06  6.52984527e-02  8.71195037e-06 -4.04200678e+01 
 1.00628408e-05  1.00628408e-05  1.00628408e-05  1.18152344e+01  1.00628408e-05  7.55004019e-02  1.00628408e-05 -4.66390833e+01 
 1.16257077e-05  1.16257077e-05  1.16257077e-05  1.36334107e+01  1.16257077e-05  8.73262387e-02  1.16257077e-05 -5.38160949e+01 
 1.34347477e-05  1.34347477e-05  1.34347477e-05  1.57316966e+01  1.34347477e-05  1.01044196e-01  1.34347477e-05 -6.20988023e+01 
 1.55302127e-05  1.55302127e-05  1.55302127e-05  1.81534529e+01  1.55302127e-05  1.16971226e-01  1.55302127e-05 -7.16583668e+01 
 1.79594693e-05  1.79594693e-05  1.79594693e-05  2.09487136e+01  1.79594693e-05  1.35481532e-01  1.79594693e-05 -8.26922904e+01 
 2.07787266e-05  2.07787266e-05  2.07787266e-05  2.41754468e+01  2.07787266e-05  1.57020012e-01  2.07787266e-05 -9.54293953e+01 
 2.40549886e-05  2.40549886e-05  2.40549886e-05  2.79007060e+01  2.40549886e-05  1.82116961e-01  2.40549886e-05 -1.10134366e+02 
 2.78689484e-05  2.78689484e-05  2.78689484e-05  3.22022888e+01  2.78689484e-05  2.11408951e-01  2.78689484e-05 -1.27114298e+02 
 3.23187755e-05  3.23187755e-05  3.23187755e-05  3.71705075e+01  3.23187755e-05  2.45664414e-01  3.23187755e-05 -1.46725687e+02 
 3.75257552e-05  3.75257552e-05  3.75257552e-05  4.29105897e+01  3.75257552e-05  2.85819225e-01  3.75257552e-05 -1.69383907e+02 
 4.36425744e-05  4.36425744e-05  4.36425744e-05  4.95455930e+01  4.36425744e-05  3.33024181e-01  4.36425744e-05 -1.95574709e+02 
 5.08665333e-05  5.08665333e-05  5.08665333e-05  5.72205189e+01  5.08665333e-05  3.88713445e-01  5.08665333e-05 -2.25870469e+02 
 5.94615849e-05  5.94615849e-05  5.94615849e-05  6.61082611e+01  5.94615849e-05  4.54705648e-01  5.94615849e-05 -2.60953662e+02 
 6.94615849e-05  6.94615849e-05  6.94615849e-05  7.60903342e+01  6.94615849e-05  5.30819056e-01  6.94615849e-05 -3.00356582e+02 
 7.94615849e-05  7.94615849e-05  7.94615849e-05  8.56597645e+01  7.94615849e-05  6.05849913e-01  7.94615849e-05 -3.38130649e+02 
